zero_day,tot_seed,Taxa,INC,COLD,Plate_num,10/22/18,10/24/18,10/26/18,10/28/18,10/29/18,10/31/18,11/2/18,11/4/18,11/5/18,11/7/18,11/9/18,11/11/18,11/12/18,11/14/18,11/16/18,viable,chill_germ,mold,adj_total
10/22/18,20,Oenethera biennis,H,F,115,0,5,11,11,11,11,11,11,11,11,11,11,11,11,11,3,,6,
10/22/18,20,Oenethera biennis,H,F,116,0,5,12,12,13,13,13,13,13,13,13,13,13,13,13,3,,4,
10/22/18,20,Oenethera biennis,H,F,117,0,7,15,15,16,16,16,16,16,16,16,16,16,16,16,,,5,
10/22/18,20,Oenethera biennis,L,F,118,0,1,17,18,18,18,18,18,18,18,18,18,18,18,18,,,2,
10/22/18,20,Oenethera biennis,L,F,119,0,,10,15,15,15,15,15,15,15,15,15,15,15,15,1,,4,
10/22/18,20,Oenethera biennis,L,F,120,0,,13,14,14,14,14,14,14,14,14,14,14,14,14,1,,5,
10/22/18,20,Asclepias syriaca,H,F,163,0,,11,18,19,20,20,20,20,20,20,20,20,20,20,,,,
10/22/18,20,Asclepias syriaca,H,F,164,0,,5,18,19,20,20,20,20,20,20,20,20,20,20,,,,
10/22/18,20,Asclepias syriaca,H,F,165,0,7,16,18,19,20,20,20,20,20,20,20,20,20,20,,,,
10/22/18,20,Asclepias syriaca,L,F,166,0,,,5,5,9,16,16,16,17,17,18,18,18,18,,,2,
10/22/18,20,Asclepias syriaca,L,F,167,0,,,6,6,9,9,10,10,12,12,12,12,12,12,2,,6,
10/22/18,20,Asclepias syriaca,L,F,168,0,,,9,14,16,18,19,19,19,19,19,19,19,19,1,,,
10/22/18,20,Cryptotaenia canadensis,H,F,211,0,1,1,7,7,10,10,10,10,10,10,10,11,11,11,10,,,
10/22/18,20,Cryptotaenia canadensis,H,F,212,0,1,2,9,10,11,11,11,11,11,11,11,11,12,12,7,,1,
10/22/18,20,Cryptotaenia canadensis,H,F,213,0,,1,5,5,6,6,7,7,7,7,7,7,7,7,13,,,
10/22/18,20,Cryptotaenia canadensis,L,F,214,0,2,6,17,17,20,20,20,20,20,20,20,20,20,20,,,,
10/22/18,20,Cryptotaenia canadensis,L,F,215,0,2,4,11,12,18,19,19,19,19,19,19,19,19,19,2,,,
10/22/18,20,Cryptotaenia canadensis,L,F,216,0,,4,14,19,20,20,20,20,20,20,20,20,20,20,,,,
10/22/18,20,Eurbia diviricata,H,F,277,0,1,5,9,9,9,10,10,10,10,10,11,11,11,11,3,,5,
10/22/18,20,Eurbia diviricata,H,F,278,0,1,2,7,9,9,10,10,10,10,10,10,10,10,10,3,,7,
10/22/18,20,Eurbia diviricata,H,F,279,0,,1,7,8,9,9,10,10,10,10,10,10,10,10,1,,9,
10/22/18,20,Eurbia diviricata,L,F,280,0,,2,6,9,9,12,13,13,13,13,13,13,13,13,1,,6,
10/22/18,20,Eurbia diviricata,L,F,281,0,,3,8,9,10,10,11,11,11,11,11,11,11,11,3,,6,
10/22/18,20,Eurbia diviricata,L,F,282,0,,1,5,6,8,8,8,9,10,10,10,10,11,11,5,,4,
10/22/18,20,Hesperis matronalis,H,F,331,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,2,,
10/22/18,20,Hesperis matronalis,H,F,332,0,15,17,19,19,19,19,19,19,19,19,19,19,19,19,,2,,
10/22/18,20,Hesperis matronalis,H,F,333,0,19,20,20,20,20,20,20,20,20,20,20,20,20,20,,1,,
10/22/18,20,Hesperis matronalis,L,F,334,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,2,1,
10/22/18,20,Hesperis matronalis,L,F,335,0,13,13,13,13,14,14,14,14,14,14,14,14,14,14,2,4,,
10/22/18,20,Hesperis matronalis,L,F,336,0,15,18,18,18,18,18,18,18,18,18,18,18,18,18,,2,,
10/22/18,20,Carex grayi,H,F,367,0,,,,,,,1,1,2,3,3,4,6,7,,,,
10/22/18,20,Carex grayi,H,F,368,0,,,,,,,,,,,,,,1,,,,
10/22/18,20,Carex grayi,L,F,369,0,,,,,,,,,,,,1,1,1,,,,
10/22/18,20,Carex grayi,L,F,370,0,,,,,,,,,,,,,,,,,,
10/22/18,20,Polygonum virginiatum,H,F,415,0,,3,5,5,8,9,9,10,10,10,10,10,10,10,7,,3,
10/22/18,20,Polygonum virginiatum,H,F,416,0,,8,11,11,13,14,15,15,15,15,15,15,15,15,3,,2,
10/22/18,20,Polygonum virginiatum,H,F,417,0,,5,8,9,11,15,15,15,15,15,15,15,15,15,4,,1,
10/22/18,20,Polygonum virginiatum,L,F,418,0,,5,8,11,14,14,16,16,16,16,17,17,17,18,2,,,
10/22/18,20,Polygonum virginiatum,L,F,419,0,,2,9,9,9,11,11,12,12,12,12,13,13,13,5,,2,
10/22/18,20,Polygonum virginiatum,L,F,420,0,,1,10,12,15,17,17,17,17,17,17,17,19,19,1,,,
10/22/18,20,Carex grisea,H,F,447,0,,,,,,,,,,,,,,,20,,,
10/22/18,20,Carex grisea,H,F,448,0,,,,,,,,,,,,,,,20,,,
10/22/18,20,Carex grisea,L,F,449,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,19,,,
10/22/18,20,Carex grisea,L,F,450,0,,,,,,,,,,,,,,,20,,,
10/22/18,20,Silene vulgaris,H,F,496,0,,16,17,17,17,17,17,18,18,18,18,18,18,18,1,,1,
10/22/18,20,Silene vulgaris,H,F,497,0,3,13,15,15,15,15,15,15,15,15,15,15,15,15,4,,2,
10/22/18,20,Silene vulgaris,H,F,498,0,3,14,18,18,18,18,18,18,18,18,18,18,18,18,2,,,
10/22/18,20,Silene vulgaris,L,F,499,0,,11,15,15,16,16,16,16,16,16,16,16,16,16,2,1,1,
10/22/18,20,Silene vulgaris,L,F,500,0,,11,18,20,21,21,21,21,21,21,21,21,21,21,,,,
10/22/18,20,Silene vulgaris,L,F,501,0,1,16,19,21,21,21,21,21,21,21,21,21,21,21,,,,
10/22/18,20,Silene stellata,H,F,550,0,,,,,,,,,,,,,,,21,,,
10/22/18,20,Silene stellata,H,F,551,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,17,,,
10/22/18,20,Silene stellata,H,F,552,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,,,
10/22/18,20,Silene stellata,L,F,553,0,,3,3,4,5,6,6,6,6,6,6,6,6,6,13,,1,
10/22/18,20,Silene stellata,L,F,554,0,1,4,4,5,5,5,5,5,5,5,5,5,5,5,15,,,
10/22/18,20,Silene stellata,L,F,555,0,,3,7,8,8,9,9,9,9,9,9,9,9,9,12,,,
10/22/18,20,Anemone virginana,H,F,604,0,,,,,2,6,9,11,14,16,18,18,19,20,,,1,
10/22/18,20,Anemone virginana,H,F,605,0,,,,4,6,10,16,18,20,20,20,20,20,20,,,,
10/22/18,20,Anemone virginana,H,F,606,0,,,1,1,4,4,8,13,17,19,19,20,20,20,,,,
10/22/18,20,Anemone virginana,L,F,607,0,,,,,,1,7,8,12,17,19,19,20,21,,,,
10/22/18,20,Anemone virginana,L,F,608,0,,,,,1,3,6,9,11,17,21,21,21,21,,,,
10/22/18,20,Anemone virginana,L,F,609,0,,,,,,1,4,4,10,12,15,18,19,19,,,1,
10/22/18,15,Thalictrum dioicum,H,F,658,0,,,,,2,2,2,2,2,2,2,2,2,2,7,,6,
10/22/18,15,Thalictrum dioicum,H,F,659,0,,,,1,1,2,2,3,3,3,3,3,3,3,6,,7,
10/22/18,15,Thalictrum dioicum,H,F,660,0,,1,2,2,2,3,3,3,3,3,3,3,3,3,4,,8,
10/22/18,15,Thalictrum dioicum,L,F,661,0,,,,,,4,5,5,6,7,7,7,7,7,3,,5,
10/22/18,15,Thalictrum dioicum,L,F,662,0,,,,,1,3,3,4,4,4,5,5,5,5,7,,3,
10/22/18,15,Thalictrum dioicum,L,F,663,0,,,,,1,2,2,2,2,3,3,3,3,3,5,,8,
10/22/18,10,Impatiens capensis,H,F,696,0,,,,,,,,,,,,,,,1,,9,
10/22/18,10,Impatiens capensis,H,F,697,0,,,,,,,,,,,,,,,2,,8,
10/22/18,10,Impatiens capensis,L,F,698,0,,,,,,,,,,,,,,,0,,10,
10/22/18,10,Impatiens capensis,L,F,699,0,,,,,,,,,,,,,,,1,,9,
10/22/18,15,Phlox cuspidata,H,F,732,0,,,,,,,,,,,,,,,4,9,2,
10/22/18,15,Phlox cuspidata,H,F,733,0,,,,,,,,,,,,,,,3,12,,
10/22/18,15,Phlox cuspidata,H,F,734,0,,,,,,,,,,,,,,,6,9,,
10/22/18,15,Phlox cuspidata,L,F,735,0,,,,,,,,1,1,1,1,1,1,1,1,13,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,