zero_day,tot_seed,Taxa,INC,COLD,Plate_num,11/12/18,11/14/18,11/16/18,11/18/18,11/19/18,11/21/18,11/23/18,11/26/18,11/28/18,11/30/18,12/2/18,12/3/18,12/5/18,12/7/18,viable,chill_germ,mold,adj_total
,20,Oenethera biennis,H,H,127,0,5,14,14,14,14,14,14,14,14,14,14,14,14,1,,5,
,20,Oenethera biennis,H,H,128,0,2,8,9,9,9,9,9,9,9,9,9,9,9,4,,7,
,20,Oenethera biennis,H,H,129,0,5,12,13,13,13,13,13,13,13,13,13,13,13,2,,5,
,20,Oenethera biennis,L,H,130,0,,14,15,15,15,15,15,15,15,15,15,15,15,,,5,
,20,Oenethera biennis,L,H,131,0,,17,18,18,18,18,18,18,18,18,18,18,18,,,3,
,20,Oenethera biennis,L,H,132,0,,15,16,16,16,16,16,16,16,16,16,16,16,1,1,2,
,20,Asclepias syriaca,H,H,175,0,2,4,17,18,19,19,19,19,19,19,19,19,19,,,2,
,20,Asclepias syriaca,H,H,176,0,2,17,19,19,20,20,20,20,20,20,20,20,20,,,1,
,20,Asclepias syriaca,H,H,177,0,2,17,19,19,20,20,20,20,20,20,20,20,20,,,,
,20,Asclepias syriaca,L,H,178,0,,1,10,14,16,18,18,18,18,18,18,18,18,1,,2,
,20,Asclepias syriaca,L,H,179,0,,5,9,13,15,17,17,18,18,18,18,18,18,1,,1,
,20,Asclepias syriaca,L,H,180,0,,2,11,17,20,20,21,21,21,21,21,21,21,,,,
,20,Cryptotaenia canadensis,H,H,223,0,,4,10,11,11,11,11,11,11,11,11,11,11,8,1,,
,20,Cryptotaenia canadensis,H,H,224,0,1,5,10,10,10,11,11,11,11,11,11,11,11,6,2,1,
,20,Cryptotaenia canadensis,H,H,225,0,,16,18,19,19,19,19,19,19,19,19,19,19,1,,,
,20,Cryptotaenia canadensis,L,H,226,0,,11,21,21,21,21,21,21,21,21,21,21,21,,,,
,20,Cryptotaenia canadensis,L,H,227,0,,5,19,19,19,19,19,19,19,19,19,19,19,,,2,
,20,Cryptotaenia canadensis,L,H,228,0,,10,14,15,16,16,16,16,16,16,16,16,16,2,1,1,
,20,Eurbia diviricata,H,H,289,0,4,6,9,9,11,11,12,12,12,12,13,13,13,1,,6,
,20,Eurbia diviricata,H,H,290,0,4,6,9,10,10,11,11,11,11,11,11,11,11,2,,7,
,20,Eurbia diviricata,H,H,291,0,7,8,8,8,8,8,8,9,9,9,9,9,9,5,,6,
,20,Eurbia diviricata,L,H,292,0,2,4,7,7,9,9,9,9,9,9,9,9,9,5,1,5,
,20,Eurbia diviricata,L,H,293,0,3,10,10,11,11,11,11,11,11,11,11,11,11,3,,6,
,20,Eurbia diviricata,L,H,294,0,2,7,8,8,9,9,9,9,9,9,9,9,9,,,11,
,20,Hesperis matronalis,H,H,343,0,17,17,17,18,18,18,18,18,18,18,18,18,18,,2,,
,20,Hesperis matronalis,H,H,344,0,17,17,17,17,17,17,17,17,17,17,17,17,17,1,2,,
,20,Hesperis matronalis,H,H,345,0,19,19,19,19,19,19,19,19,19,19,19,19,19,,3,,
,20,Hesperis matronalis,L,H,346,0,9,10,10,10,10,10,10,10,10,10,10,10,10,1,6,2,
,20,Hesperis matronalis,L,H,347,0,10,15,15,15,15,16,16,16,16,16,16,16,16,2,4,,
,20,Hesperis matronalis,L,H,348,0,12,14,14,14,14,14,14,15,15,15,15,15,15,1,5,,
,20,Carex grisea,H,H,455,0,,,,,,,,,,,,,,20,,,
,20,Carex grisea,H,H,456,0,,,,,,,,,,,,,,20,,,
,20,Carex grisea,L,H,457,0,,,,,,,,,,,,,,18,,2,
,20,Carex grisea,L,H,458,0,,,,,,1,1,1,1,1,1,1,1,19,,,
,20,Silene vulgaris,H,H,508,0,,6,10,12,13,13,13,13,13,13,13,13,13,5,1,,
,20,Silene vulgaris,H,H,509,0,7,18,21,22,22,22,22,22,22,22,22,22,22,,,,
,20,Silene vulgaris,H,H,510,0,,9,12,12,12,12,12,12,12,13,13,13,13,5,1,1,
,20,Silene vulgaris,L,H,511,0,3,10,12,13,13,13,13,13,13,13,13,13,13,3,,4,
,20,Silene vulgaris,L,H,512,0,,15,18,18,18,18,18,18,18,18,18,18,18,1,1,,
,20,Silene vulgaris,L,H,513,0,,10,15,15,17,17,17,17,18,18,18,18,18,1,1,,
,20,Silene stellata,H,H,562,0,1,2,2,2,2,2,2,2,2,2,2,2,3,16,,1,
,20,Silene stellata,H,H,563,0,,2,2,2,2,2,2,2,2,2,2,2,2,16,1,2,
,20,Silene stellata,H,H,564,0,,1,1,3,3,3,3,3,3,3,3,3,3,18,,,
,20,Silene stellata,L,H,565,0,1,5,6,6,7,7,7,7,8,8,8,8,8,13,,,
,20,Silene stellata,L,H,566,0,,4,5,5,5,5,5,5,5,5,5,5,5,15,,,
,20,Silene stellata,L,H,567,0,,4,6,7,7,7,7,7,7,7,7,7,7,12,1,,
,20,Anemone virginana,H,H,616,0,,,2,2,4,8,13,16,17,18,18,18,18,1,,1,
,20,Anemone virginana,H,H,617,0,,,,1,2,3,9,13,14,14,14,15,16,3,,1,
,20,Anemone virginana,H,H,618,0,,1,3,5,7,9,15,16,16,17,17,17,17,2,,1,
,20,Anemone virginana,L,H,619,0,,,,,3,8,12,16,18,18,19,20,20,1,,,
,20,Anemone virginana,L,H,620,0,,1,1,1,1,6,10,12,17,21,22,22,22,,,,
,20,Anemone virginana,L,H,621,0,,,,3,4,8,14,16,17,18,18,18,19,1,,,
,10,Impatiens capensis,H,H,704,0,,1,1,1,1,1,1,1,1,1,1,1,1,,,9,
,10,Impatiens capensis,H,H,705,0,,,,,,,,,,1,1,1,1,3,,6,
,10,Impatiens capensis,L,H,706,0,,,,,,,,,,,,,,2,,8,
,10,Impatiens capensis,L,H,707,0,,,,,,,,,,,,,,,,10,
,20,Carex grayi,H,H,371,0,,,,,,,1,1,4,4,7,8,10,,,,
,20,Carex grayi,H,H,372,0,,,,,,,1,1,1,2,4,4,6,,,,
,20,Carex grayi,L,H,373,0,,,,,,,,,,,,1,1,,,,
,20,Carex grayi,L,H,374,0,,,,,,,,,,,,,,,,,